,val_loss,val_accuracy,loss,accuracy
0,0.5428810715675354,0.7899209260940552,0.4209213797003031,0.8125870227813721
1,0.4426394999027252,0.8234982490539551,0.29735963592853726,0.8869634866714478
2,0.250958114862442,0.8540797233581543,0.2702778134343674,0.8924079537391663
3,0.2778428792953491,0.8474158644676208,0.24303978917882305,0.9062321782112122
4,0.2830186188220978,0.8775599598884583,0.23356054036919532,0.9102621078491211
5,0.3814384639263153,0.823093831539154,0.22534036992288253,0.9134034514427185
6,0.2660697400569916,0.8585784435272217,0.22246694118440938,0.9163704514503479
7,0.27274471521377563,0.857559084892273,0.2121241122732195,0.9196075201034546
8,0.17218376696109772,0.8914346098899841,0.2072393916149788,0.9210253357887268
9,0.18915221095085144,0.8800828456878662,0.20174833305081608,0.9235989451408386
